show,episode,season,country,channel,date,link
The Vanishing Triangle,5,1,Etats-Unis,SundanceTV,16-11-2023,episode05-410197-16112023-saison1-The-Vanishing-Triangle.html
Un professore,1,2,Italie,Rai 1,16-11-2023,episode01-411117-16112023-saison2-Un-professore.html
Fellow Travelers,4,1,Etats-Unis,Showtime,17-11-2023,episode04-411452-17112023-saison1-Fellow-Travelers.html
For All Mankind,2,4,Etats-Unis,Apple TV+,17-11-2023,episode02-410206-17112023-saison4-For-All-Mankind.html
Goosebumps (2023),10,1,Etats-Unis,Disney+,17-11-2023,episode10-409987-17112023-saison1-Goosebumps-(2023).html
Heartbeats,1,2,Suède,TV4,17-11-2023,episode01-411724-17112023-saison2-Heartbeats.html
Invincible,3,2,Etats-Unis,Prime Video,17-11-2023,episode03-411874-17112023-saison2-Invincible.html
Lessons In Chemistry,7,1,Etats-Unis,Apple TV+,17-11-2023,episode07-406603-17112023-saison1-Lessons-In-Chemistry.html
Monarch: Legacy of Monsters,1,1,Etats-Unis,Apple TV+,17-11-2023,episode01-409991-17112023-saison1-Monarch-Legacy-of-Monsters.html
Monarch: Legacy of Monsters,2,1,Etats-Unis,Apple TV+,17-11-2023,episode02-409992-17112023-saison1-Monarch-Legacy-of-Monsters.html
NCIS: Sydney,2,1,Etats-Unis,Paramount+,17-11-2023,episode02-410216-17112023-saison1-NCIS-Sydney.html
Ojitos de huevo,1,1,Etats-Unis,Netflix,17-11-2023,episode01-411563-17112023-saison1-Ojitos-de-huevo.html
Sagrada familia,1,2,Etats-Unis,Netflix,17-11-2023,episode01-411642-17112023-saison2-Sagrada-familia.html
Shining Vale,6,2,Etats-Unis,Starz,17-11-2023,episode06-411129-17112023-saison2-Shining-Vale.html
SOKO Leipzig,13,24,Allemagne,ZDF,17-11-2023,episode13-411901-17112023-saison24-SOKO-Leipzig.html
Solsidan,9,8,Suède,TV4,17-11-2023,episode09-411759-17112023-saison8-Solsidan.html
Sort Of,1,3,Canada,CBC Gem,17-11-2023,episode01-410155-17112023-saison3-Sort-Of.html
The Curse (2023),2,1,Etats-Unis,Showtime on Demand,17-11-2023,episode02-411762-17112023-saison1-The-Curse-(2023).html
The Good Ship Murder,6,1,Royaume-Uni,Channel 5,17-11-2023,episode06-411247-17112023-saison1-The-Good-Ship-Murder.html
Transplant,7,4,Canada,CTV,17-11-2023,episode07-409843-17112023-saison4-Transplant.html
All Rise,20,3,Etats-Unis,OWN,18-11-2023,episode20-411553-18112023-saison3-All-Rise.html
Beacon 23,2,1,Etats-Unis,Epix,19-11-2023,episode02-411639-19112023-saison1-Beacon-23.html
Fear the Walking Dead,11,8,Etats-Unis,AMC,19-11-2023,episode11-408758-19112023-saison8-Fear-the-Walking-Dead.html
Fear the Walking Dead,12,8,Etats-Unis,AMC,19-11-2023,episode12-408759-19112023-saison8-Fear-the-Walking-Dead.html
Heartland (CA),8,17,Canada,CBC,19-11-2023,episode08-411743-19112023-saison17-Heartland-(CA).html
Krapopolis,9,1,Etats-Unis,Fox,19-11-2023,episode09-411002-19112023-saison1-Krapopolis.html
Les Mystères de l'amour,15,33,France,TMC,19-11-2023,episode15-411792-19112023-saison33-Les-Mysteres-de-l-amour.html
Rick and Morty,6,7,Etats-Unis,Adult Swim,19-11-2023,episode06-411274-19112023-saison7-Rick-and-Morty.html
The Gilded Age,4,2,Etats-Unis,HBO,19-11-2023,episode04-411130-19112023-saison2-The-Gilded-Age.html
Acting Good,6,2,Canada,The Comedy Network,20-11-2023,episode06-411301-20112023-saison2-Acting-Good.html
American Dad!,18,19,Etats-Unis,TBS (US),20-11-2023,episode18-411622-20112023-saison19-American-Dad.html
Murdoch Mysteries,8,17,Canada,Citytv,20-11-2023,episode08-411554-20112023-saison17-Murdoch-Mysteries.html
Spellbound,14,1,Etats-Unis,Hulu,20-11-2023,episode14-410565-20112023-saison1-Spellbound.html
Spellbound,15,1,Etats-Unis,Hulu,20-11-2023,episode15-410566-20112023-saison1-Spellbound.html
Spellbound,16,1,Etats-Unis,Hulu,20-11-2023,episode16-410567-20112023-saison1-Spellbound.html
Spellbound,17,1,Etats-Unis,Hulu,20-11-2023,episode17-410568-20112023-saison1-Spellbound.html
Spellbound,18,1,Etats-Unis,Hulu,20-11-2023,episode18-410569-20112023-saison1-Spellbound.html
Spellbound,19,1,Etats-Unis,Hulu,20-11-2023,episode19-410570-20112023-saison1-Spellbound.html
Spellbound,20,1,Etats-Unis,Hulu,20-11-2023,episode20-410571-20112023-saison1-Spellbound.html
Spellbound,21,1,Etats-Unis,Hulu,20-11-2023,episode21-410572-20112023-saison1-Spellbound.html
Spellbound,22,1,Etats-Unis,Hulu,20-11-2023,episode22-410573-20112023-saison1-Spellbound.html
Spellbound,23,1,Etats-Unis,Hulu,20-11-2023,episode23-410574-20112023-saison1-Spellbound.html
Spellbound,24,1,Etats-Unis,Hulu,20-11-2023,episode24-410575-20112023-saison1-Spellbound.html
Spellbound,25,1,Etats-Unis,Hulu,20-11-2023,episode25-410576-20112023-saison1-Spellbound.html
Spellbound,26,1,Etats-Unis,Hulu,20-11-2023,episode26-410577-20112023-saison1-Spellbound.html
The Irrational,9,1,Etats-Unis,NBC,20-11-2023,episode09-409868-20112023-saison1-The-Irrational.html
A Murder at the End of the World,3,1,Etats-Unis,Hulu,21-11-2023,episode03-407979-21112023-saison1-A-Murder-at-the-End-of-the-World.html
Fargo,1,5,Etats-Unis,FX,21-11-2023,episode01-409056-21112023-saison5-Fargo.html
Fargo,2,5,Etats-Unis,FX,21-11-2023,episode02-411343-21112023-saison5-Fargo.html
Found,8,1,Etats-Unis,NBC,21-11-2023,episode08-409899-21112023-saison1-Found.html
Black Cake,6,1,Etats-Unis,Hulu,22-11-2023,episode06-410152-22112023-saison1-Black-Cake.html
Chucky,8,3,Etats-Unis,Syfy,22-11-2023,episode08-409121-22112023-saison3-Chucky.html
Magnum P.I. (2018),17,5,Etats-Unis,NBC,22-11-2023,episode17-410797-22112023-saison5-Magnum-PI-(2018).html
Magnum P.I. (2018),18,5,Etats-Unis,NBC,22-11-2023,episode18-410798-22112023-saison5-Magnum-PI-(2018).html
SurrealEstate,8,2,Etats-Unis,Syfy,22-11-2023,episode08-411102-22112023-saison2-SurrealEstate.html
The Buccaneers (2023),5,1,Etats-Unis,Apple TV+,22-11-2023,episode05-409071-22112023-saison1-The-Buccaneers-(2023).html
The Santa Clauses,4,2,Etats-Unis,Disney+,22-11-2023,episode04-410601-22112023-saison2-The-Santa-Clauses.html
BlackBerry,3,1,Canada,CBC,23-11-2023,episode03-411707-23112023-saison1-BlackBerry.html
Frasier (2023),8,1,Etats-Unis,Paramount+,23-11-2023,episode08-409730-23112023-saison1-Frasier-(2023).html
Julia (2022),4,2,Etats-Unis,HBO Max,23-11-2023,episode04-410539-23112023-saison2-Julia-(2022).html
Kingdom Business,4,2,Etats-Unis,BET+,23-11-2023,episode04-411747-23112023-saison2-Kingdom-Business.html
Master Crimes,5,1,France,TF1,23-11-2023,episode05-411531-23112023-saison1-Master-Crimes.html
Master Crimes,6,1,France,TF1,23-11-2023,episode06-411532-23112023-saison1-Master-Crimes.html
Rap Sh!t,4,2,Etats-Unis,HBO Max,23-11-2023,episode04-408170-23112023-saison2-Rap-Sht.html
The Vanishing Triangle,6,1,Etats-Unis,SundanceTV,23-11-2023,episode06-410198-23112023-saison1-The-Vanishing-Triangle.html
En helt vanlig familj,1,1,Etats-Unis,Netflix,24-11-2023,episode01-411652-24112023-saison1-En-helt-vanlig-familj.html
Fellow Travelers,5,1,Etats-Unis,Showtime,24-11-2023,episode05-411453-24112023-saison1-Fellow-Travelers.html
For All Mankind,3,4,Etats-Unis,Apple TV+,24-11-2023,episode03-410207-24112023-saison4-For-All-Mankind.html
Invincible,4,2,Etats-Unis,Prime Video,24-11-2023,episode04-411875-24112023-saison2-Invincible.html
Lessons In Chemistry,8,1,Etats-Unis,Apple TV+,24-11-2023,episode08-406604-24112023-saison1-Lessons-In-Chemistry.html
Monarch: Legacy of Monsters,3,1,Etats-Unis,Apple TV+,24-11-2023,episode03-409993-24112023-saison1-Monarch-Legacy-of-Monsters.html
My Demon,1,1,Etats-Unis,Netflix,24-11-2023,episode01-411686-24112023-saison1-My-Demon.html
NCIS: Sydney,3,1,Etats-Unis,Paramount+,24-11-2023,episode03-410217-24112023-saison1-NCIS-Sydney.html
Shining Vale,7,2,Etats-Unis,Starz,24-11-2023,episode07-411162-24112023-saison2-Shining-Vale.html
Solsidan,10,8,Suède,TV4,24-11-2023,episode10-411760-24112023-saison8-Solsidan.html
The Curse (2023),3,1,Etats-Unis,Showtime on Demand,24-11-2023,episode03-411763-24112023-saison1-The-Curse-(2023).html
The Good Ship Murder,7,1,Royaume-Uni,Channel 5,24-11-2023,episode07-411248-24112023-saison1-The-Good-Ship-Murder.html
Transplant,8,4,Canada,CTV,24-11-2023,episode08-411161-24112023-saison4-Transplant.html
Doctor Who (2005),-1,14,Royaume-Uni,BBC One,25-11-2023,episode-411616-25112023-saison14-Doctor-Who-(2005).html
My Demon,2,1,Etats-Unis,Netflix,25-11-2023,episode02-411687-25112023-saison1-My-Demon.html
Beacon 23,3,1,Etats-Unis,Epix,26-11-2023,episode03-411640-26112023-saison1-Beacon-23.html
Rick and Morty,7,7,Etats-Unis,Adult Swim,26-11-2023,episode07-411275-26112023-saison7-Rick-and-Morty.html
The Gilded Age,5,2,Etats-Unis,HBO,26-11-2023,episode05-411249-26112023-saison2-The-Gilded-Age.html
Acting Good,7,2,Canada,The Comedy Network,27-11-2023,episode07-411302-27112023-saison2-Acting-Good.html
American Dad!,19,19,Etats-Unis,TBS (US),27-11-2023,episode19-411623-27112023-saison19-American-Dad.html
The Irrational,10,1,Etats-Unis,NBC,27-11-2023,episode10-409869-27112023-saison1-The-Irrational.html
A Murder at the End of the World,4,1,Etats-Unis,Hulu,28-11-2023,episode04-407980-28112023-saison1-A-Murder-at-the-End-of-the-World.html
Fargo,3,5,Etats-Unis,FX,28-11-2023,episode03-411344-28112023-saison5-Fargo.html
Found,9,1,Etats-Unis,NBC,28-11-2023,episode09-409900-28112023-saison1-Found.html
Black Cake,7,1,Etats-Unis,Hulu,29-11-2023,episode07-410153-29112023-saison1-Black-Cake.html
Magnum P.I. (2018),19,5,Etats-Unis,NBC,29-11-2023,episode19-410799-29112023-saison5-Magnum-PI-(2018).html
Quantum Leap (2022),9,2,Etats-Unis,NBC,29-11-2023,episode09-411315-29112023-saison2-Quantum-Leap-(2022).html
SurrealEstate,9,2,Etats-Unis,Syfy,29-11-2023,episode09-411103-29112023-saison2-SurrealEstate.html
The Artful Dodger,1,1,Etats-Unis,Disney+,29-11-2023,episode01-411104-29112023-saison1-The-Artful-Dodger.html
The Buccaneers (2023),6,1,Etats-Unis,Apple TV+,29-11-2023,episode06-409072-29112023-saison1-The-Buccaneers-(2023).html
The Santa Clauses,5,2,Etats-Unis,Disney+,29-11-2023,episode05-410602-29112023-saison2-The-Santa-Clauses.html
Family Law (CAN),1,3,Canada,Global,30-11-2023,episode01-410524-30112023-saison3-Family-Law-(CAN).html
Family Law (CAN),2,3,Canada,Global,30-11-2023,episode02-410525-30112023-saison3-Family-Law-(CAN).html
Family Law (CAN),3,3,Canada,Global,30-11-2023,episode03-410526-30112023-saison3-Family-Law-(CAN).html
Family Law (CAN),4,3,Canada,Global,30-11-2023,episode04-410527-30112023-saison3-Family-Law-(CAN).html
Family Law (CAN),5,3,Canada,Global,30-11-2023,episode05-410528-30112023-saison3-Family-Law-(CAN).html
Family Law (CAN),6,3,Canada,Global,30-11-2023,episode06-410529-30112023-saison3-Family-Law-(CAN).html
Family Law (CAN),7,3,Canada,Global,30-11-2023,episode07-410530-30112023-saison3-Family-Law-(CAN).html
Family Law (CAN),8,3,Canada,Global,30-11-2023,episode08-410531-30112023-saison3-Family-Law-(CAN).html
Family Law (CAN),9,3,Canada,Global,30-11-2023,episode09-410532-30112023-saison3-Family-Law-(CAN).html
Family Law (CAN),10,3,Canada,Global,30-11-2023,episode10-410533-30112023-saison3-Family-Law-(CAN).html
Frasier (2023),9,1,Etats-Unis,Paramount+,30-11-2023,episode09-409731-30112023-saison1-Frasier-(2023).html
Julia (2022),5,2,Etats-Unis,HBO Max,30-11-2023,episode05-410540-30112023-saison2-Julia-(2022).html
Obliterated,1,1,Etats-Unis,Netflix,30-11-2023,episode01-409739-30112023-saison1-Obliterated.html
Obliterated,2,1,Etats-Unis,Netflix,30-11-2023,episode02-409740-30112023-saison1-Obliterated.html
Obliterated,3,1,Etats-Unis,Netflix,30-11-2023,episode03-409741-30112023-saison1-Obliterated.html
Obliterated,4,1,Etats-Unis,Netflix,30-11-2023,episode04-409742-30112023-saison1-Obliterated.html
Obliterated,5,1,Etats-Unis,Netflix,30-11-2023,episode05-409743-30112023-saison1-Obliterated.html
Obliterated,6,1,Etats-Unis,Netflix,30-11-2023,episode06-409744-30112023-saison1-Obliterated.html
Obliterated,7,1,Etats-Unis,Netflix,30-11-2023,episode07-409745-30112023-saison1-Obliterated.html
Obliterated,8,1,Etats-Unis,Netflix,30-11-2023,episode08-409746-30112023-saison1-Obliterated.html
Rap Sh!t,5,2,Etats-Unis,HBO Max,30-11-2023,episode05-408171-30112023-saison2-Rap-Sht.html
Virgin River,11,5,Etats-Unis,Netflix,30-11-2023,episode11-411788-30112023-saison5-Virgin-River.html
Virgin River,12,5,Etats-Unis,Netflix,30-11-2023,episode12-411789-30112023-saison5-Virgin-River.html
