show,episode,season,country,channel,date,link
Bob's Burgers,5,14,Etats-Unis,Fox,05-11-2023,episode05-411285-05112023-saison14-Bob-s-Burgers.html
Entre Tierras,9,1,Espagne,ATRESplayer,05-11-2023,episode09-410975-05112023-saison1-Entre-Tierras.html
Family Guy,4,22,Etats-Unis,Fox,05-11-2023,episode04-411119-05112023-saison22-Family-Guy.html
Fear the Walking Dead,9,8,Etats-Unis,AMC,05-11-2023,episode09-408756-05112023-saison8-Fear-the-Walking-Dead.html
Heartland (CA),6,17,Canada,CBC,05-11-2023,episode06-411342-05112023-saison17-Heartland-(CA).html
Krapopolis,7,1,Etats-Unis,Fox,05-11-2023,episode07-410711-05112023-saison1-Krapopolis.html
Lawmen: Bass Reeves,1,1,Etats-Unis,Paramount+,05-11-2023,episode01-409976-05112023-saison1-Lawmen-Bass-Reeves.html
Lawmen: Bass Reeves,2,1,Etats-Unis,Paramount+,05-11-2023,episode02-409977-05112023-saison1-Lawmen-Bass-Reeves.html
Les Mystères de l'amour,13,33,France,TMC,05-11-2023,episode13-411298-05112023-saison33-Les-Mysteres-de-l-amour.html
Rick and Morty,4,7,Etats-Unis,Adult Swim,05-11-2023,episode04-411272-05112023-saison7-Rick-and-Morty.html
SkyMed,6,2,Canada,CBC Gem,05-11-2023,episode06-411467-05112023-saison2-SkyMed.html
The Gilded Age,2,2,Etats-Unis,HBO,05-11-2023,episode02-411126-05112023-saison2-The-Gilded-Age.html
The Simpsons,5,35,Etats-Unis,Fox,05-11-2023,episode05-410986-05112023-saison35-The-Simpsons.html
The Winter King,10,1,Royaume-Uni,ITVX,05-11-2023,episode10-409136-05112023-saison1-The-Winter-King.html
Acting Good,4,2,Canada,The Comedy Network,06-11-2023,episode04-411299-06112023-saison2-Acting-Good.html
American Dad!,16,19,Etats-Unis,TBS (US),06-11-2023,episode16-411549-06112023-saison19-American-Dad.html
D'argent et de sang,5,1,France,Canal+,06-11-2023,episode05-411405-06112023-saison1-D-argent-et-de-sang.html
Harry Wild,6,2,Etats-Unis,Acorn TV,06-11-2023,episode06-410204-06112023-saison2-Harry-Wild.html
Murdoch Mysteries,6,17,Canada,Citytv,06-11-2023,episode06-411314-06112023-saison17-Murdoch-Mysteries.html
SOKO Potsdam,7,6,Allemagne,ZDF,06-11-2023,episode07-411468-06112023-saison6-SOKO-Potsdam.html
The Irrational,7,1,Etats-Unis,NBC,06-11-2023,episode07-409866-06112023-saison1-The-Irrational.html
Found,6,1,Etats-Unis,NBC,07-11-2023,episode06-409897-07112023-saison1-Found.html
The Oval,4,5,Etats-Unis,BET,07-11-2023,episode04-411618-07112023-saison5-The-Oval.html
Black Cake,4,1,Etats-Unis,Hulu,08-11-2023,episode04-410150-08112023-saison1-Black-Cake.html
Blanca,6,2,Italie,Rai 1,08-11-2023,episode06-411694-08112023-saison2-Blanca.html
Children Ruin Everything,7,3,Canada,CTV,08-11-2023,episode07-411435-08112023-saison3-Children-Ruin-Everything.html
Chucky,6,3,Etats-Unis,Syfy,08-11-2023,episode06-409119-08112023-saison3-Chucky.html
Cooper's Bar,6,2,Etats-Unis,AMC,08-11-2023,episode06-411066-08112023-saison2-Cooper-s-Bar.html
Culprits,1,1,Etats-Unis,Disney+,08-11-2023,episode01-411644-08112023-saison1-Culprits.html
Culprits,2,1,Etats-Unis,Disney+,08-11-2023,episode02-411645-08112023-saison1-Culprits.html
Culprits,3,1,Etats-Unis,Disney+,08-11-2023,episode03-411646-08112023-saison1-Culprits.html
Culprits,4,1,Etats-Unis,Disney+,08-11-2023,episode04-411647-08112023-saison1-Culprits.html
Culprits,5,1,Etats-Unis,Disney+,08-11-2023,episode05-411648-08112023-saison1-Culprits.html
Culprits,6,1,Etats-Unis,Disney+,08-11-2023,episode06-411649-08112023-saison1-Culprits.html
Culprits,7,1,Etats-Unis,Disney+,08-11-2023,episode07-411650-08112023-saison1-Culprits.html
Culprits,8,1,Etats-Unis,Disney+,08-11-2023,episode08-411651-08112023-saison1-Culprits.html
Hotel Mondial,6,2,Allemagne,ZDF,08-11-2023,episode06-411892-08112023-saison2-Hotel-Mondial.html
Hudson & Rex,6,6,Canada,Citytv,08-11-2023,episode06-411637-08112023-saison6-Hudson--Rex.html
Inspirez expirez,6,1,Canada,CraveTV,08-11-2023,episode06-411700-08112023-saison1-Inspirez-expirez.html
Inspirez expirez,7,1,Canada,CraveTV,08-11-2023,episode07-411701-08112023-saison1-Inspirez-expirez.html
Robyn Hood,7,1,Canada,Global,08-11-2023,episode07-411619-08112023-saison1-Robyn-Hood.html
Shetland,2,8,Royaume-Uni,BBC One,08-11-2023,episode02-411317-08112023-saison8-Shetland.html
Sistas,15,6,Etats-Unis,BET,08-11-2023,episode15-411638-08112023-saison6-Sistas.html
SurrealEstate,6,2,Etats-Unis,Syfy,08-11-2023,episode06-410889-08112023-saison2-SurrealEstate.html
The Buccaneers (2023),1,1,Etats-Unis,Apple TV+,08-11-2023,episode01-409067-08112023-saison1-The-Buccaneers-(2023).html
The Buccaneers (2023),2,1,Etats-Unis,Apple TV+,08-11-2023,episode02-409068-08112023-saison1-The-Buccaneers-(2023).html
The Buccaneers (2023),3,1,Etats-Unis,Apple TV+,08-11-2023,episode03-409069-08112023-saison1-The-Buccaneers-(2023).html
